Stage,Timestamp,Elapsed Time (s),CPU Time (s),Avg CPU (%),Peak CPU (%),Avg RAM (%),Peak RAM (%),Avg Memory (MB),Peak Memory (MB),Avg Power (W),Peak Power (W),Total Energy (Wh),Avg CO2 (g/h),Total CO2 (g),Device Info,CPU Info
Data Loading,2025-03-31 21:47:55,1483.8763196468353,2633.75,59.08007570543703,100.0,58.56631108052306,89.7,1896.0572011570887,7245.8203125,63.17206813489332,100.0,26.03875999124573,30.006732364074328,12.36841099584172,Windows-11-10.0.26100-SP0,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel"
Recommendation,2025-03-31 21:48:00,4.099990129470825,3.65625,33.825,45.7,62.925,63.0,3367.2724609375,3381.39453125,40.442499999999995,51.13,0.04605940300308995,19.2101875,0.021878216426467725,Windows-11-10.0.26100-SP0,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel"
Evaluation,2025-03-31 21:48:41,41.75140333175659,41.171875,42.92926829268293,71.9,72.18536585365854,80.0,4821.423875762195,6043.609375,48.63634146341464,74.71000000000001,0.5640654191722393,23.102262195121952,0.26793107410681366,Windows-11-10.0.26100-SP0,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel"
Data Loading,2025-03-31 22:00:51,1.5171713829040527,1.421875,31.26666666666667,49.6,50.800000000000004,58.0,890.52734375,2065.33984375,38.14,54.64,0.016073587928877937,18.1165,0.007634954266217019,Windows-11-10.0.26100-SP0,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel"
Recommendation,2025-03-31 22:00:55,4.065045356750488,3.71875,35.2625,46.2,58.475,58.7,2151.9609375,2166.9296875,41.73625,51.580000000000005,0.04712770813074377,19.82471875,0.02238566136210329,Windows-11-10.0.26100-SP0,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel"
Evaluation,2025-03-31 22:01:36,40.713512659072876,39.8125,40.3975,60.7,67.27625,75.4,3607.41103515625,4912.7890625,46.357749999999996,64.63,0.5242741226308709,22.01993125,0.2490302082496637,Windows-11-10.0.26100-SP0,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel"
Data Loading,2025-04-03 12:26:59,6.618027687072754,3.484375,56.49230769230769,94.7,68.1923076923077,77.7,1611.4783653846155,2061.296875,60.84307692307693,95.23,0.11185032434545013,28.90046153846154,0.05312890406408881,Windows-11-10.0.26100-SP0,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel"
Recommendation,2025-04-03 12:27:08,8.7804856300354,7.84375,47.36470588235294,84.6,67.78235294117647,67.9,2148.240119485294,2163.234375,52.628235294117644,86.14,0.12836151770392273,24.99841176470588,0.06097172090936331,Windows-11-10.0.26100-SP0,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel"
Evaluation,2025-04-03 12:28:31,83.01078581809998,75.8125,53.39316770186335,100.0,77.05590062111801,85.4,3682.533385093168,4911.734375,58.05385093167702,100.0,1.338637718223707,27.57557919254658,0.6358529161562608,Windows-11-10.0.26100-SP0,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel"
Data Loading,2025-04-03 13:00:21,1.5119178295135498,1.46875,27.266666666666666,44.3,66.3,73.6,874.2018229166666,2062.32421875,34.54,49.87,0.01450601161983278,16.406499999999998,0.006890355519420572,Windows-11-10.0.26100-SP0,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel"
Recommendation,2025-04-03 13:00:27,6.355800151824951,5.90625,32.766666666666666,46.7,74.04166666666667,74.1,2154.3492838541665,2164.87890625,39.49,52.03,0.06971959666543537,18.757749999999998,0.033116808416081805,Windows-11-10.0.26100-SP0,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel"
Evaluation,2025-04-03 13:01:44,76.72858381271362,72.828125,50.46066666666667,93.9,79.72533333333332,90.5,3651.3785677083333,4911.2109375,55.4146,94.51,1.1810788279300002,26.321935,0.56101244326675,Windows-11-10.0.26100-SP0,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel"
Data Loading,2025-04-03 13:02:04,2.6632211208343506,1.828125,29.2,40.1,64.12,69.5,1357.23828125,2062.546875,36.28,46.09,0.026839350628852846,17.232999999999997,0.012748691548705102,Windows-11-10.0.26100-SP0,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel"
Recommendation,2025-04-03 13:02:13,9.300472736358643,8.671875,41.705555555555556,65.9,68.27222222222223,68.8,2156.6228298611113,2164.59765625,47.535,69.31,0.12280499208966891,22.579125,0.05833237124259273,Windows-11-10.0.26100-SP0,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel"
Evaluation,2025-04-03 13:03:54,100.51814365386963,95.953125,43.20102040816327,93.9,76.20969387755102,85.3,3495.272859534439,4912.55078125,48.880918367346936,94.51,1.3648386595505706,23.218436224489796,0.6482983632865209,Windows-11-10.0.26100-SP0,"Intel64 Family 6 Model 142 Stepping 10, GenuineIntel"
Data Loading,2025-04-04 13:49:07,1414.4660429954529,952.53125,9.273618940248046,100.0,94.37771514468228,99.9,1662.8690532811913,4916.54296875,18.346257046223194,100.0,7.208377113319101,8.714472096956047,3.4239791288265735,Windows-10-10.0.22631-SP0,"Intel64 Family 6 Model 154 Stepping 3, GenuineIntel"
Train NCF,2025-04-04 14:16:22,1634.970294713974,329.21875,3.207152230971131,22.0,83.17772309711324,90.0,2175.240338182825,2581.15234375,12.88643700787395,29.8,5.852483809049092,6.121057578740188,2.7799298092983187,Windows-10-10.0.22631-SP0,"Intel64 Family 6 Model 154 Stepping 3, GenuineIntel"
